Название,Цена,URL
Язык программирования Go,1535.0,https://www.wildberries.ru/catalog/42782778/detail.aspx
"Ежедневник планер ""Дневник эффективности"" А5 блокнот",401.0,https://www.wildberries.ru/catalog/43966045/detail.aspx
JavaScript. Полное руководство. 7-е изда,1830.0,https://www.wildberries.ru/catalog/25920522/detail.aspx
"Тетрадь Логика и программирование, 9-10 лет",507.0,https://www.wildberries.ru/catalog/235006322/detail.aspx
Набор тетрадей РЕШИ-ПИШИ УМ881 Развиваем школьника от 7 лет,678.0,https://www.wildberries.ru/catalog/237757607/detail.aspx
Застенчивость. Как ее побороть и приобрести уверенность,487.0,https://www.wildberries.ru/catalog/183795374/detail.aspx
Метод Г. Шичко. Теория психологического программирования,1337.0,https://www.wildberries.ru/catalog/207568349/detail.aspx
Python. Великое программирование в Minecraft,631.0,https://www.wildberries.ru/catalog/229254518/detail.aspx
Программирование: принципы и практика с использованием C++,3997.0,https://www.wildberries.ru/catalog/10591319/detail.aspx
Философия Java. 4-е полное изд.,2013.0,https://www.wildberries.ru/catalog/6612344/detail.aspx
Компьютерные системы. Архитектура и программирование,3048.0,https://www.wildberries.ru/catalog/279308103/detail.aspx
"HTML, CSS, SCRATCH, PYTHON. Моя первая книга по программированию",603.0,https://www.wildberries.ru/catalog/45372759/detail.aspx
"Сборник лабораторных работ для студентов учебных заведений, изучающих программирование в системе 1С:",785.0,https://www.wildberries.ru/catalog/111116231/detail.aspx
Набор тетрадей Реши-Пиши Логика и программирование Курс,534.0,https://www.wildberries.ru/catalog/121012207/detail.aspx
Программирование на языке Rust. Цветное издание,2317.0,https://www.wildberries.ru/catalog/223860114/detail.aspx
Современная разработка игр на Unity,1128.0,https://www.wildberries.ru/catalog/221789072/detail.aspx
"Привет, мир!",144.0,https://www.wildberries.ru/catalog/34635120/detail.aspx
Микроконтроллеры AVR. От азов программир,719.0,https://www.wildberries.ru/catalog/62978043/detail.aspx
"Java для ""чайников""",1339.0,https://www.wildberries.ru/catalog/7164650/detail.aspx
C++. Полное руководство. Классическое издание,2438.0,https://www.wildberries.ru/catalog/203927276/detail.aspx
Искусство программирования на R,654.0,https://www.wildberries.ru/catalog/7520877/detail.aspx
